instruction,intent,response
"Where is my order?","track_order","Please provide your order number so I can help track your order."
"I want to track my package","track_order","Please provide your order number and I will check the order status."
"Can I cancel my order?","cancel_order","You can cancel your order from the order details page if it has not shipped yet."
"I need to cancel my purchase","cancel_order","Please share your order number so we can check whether cancellation is possible."
"How do I get a refund?","get_refund","Refunds can be requested from the order page after selecting the eligible item."
"What is your refund policy?","check_refund_policy","Most items can be refunded within the allowed return window based on company policy."
"My payment failed","payment_issue","Please verify your card details or try another payment method."
"What payment methods do you accept?","check_payment_methods","We accept major credit cards debit cards and supported online payment methods."
"How long does delivery take?","delivery_period","Delivery time depends on your location and selected shipping method."
"What shipping options are available?","delivery_options","Standard and express delivery options may be available at checkout."
"I need help with my account","contact_customer_service","Please contact customer service through chat email or phone for account help."
"I want to talk to a human","contact_human_agent","I can connect you with a human support agent for further assistance."
"I forgot my password","recover_password","Use the forgot password option on the login page to reset your password."
"How do I create an account?","create_account","You can create an account by selecting Sign Up and entering your details."
"I want to change my shipping address","change_shipping_address","You can update your shipping address before the order is shipped."
